DATAFLOW,LAST UPDATE,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2009,10.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2010,9.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2011,9.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2012,9.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2013,10.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2014,10.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2015,10.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2016,10.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2017,9.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2018,9.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2019,8.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2020,10.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2021,11.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2022,9.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2023,10.7,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Austria,2024,10.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2021,44.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2022,42.1,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bosnia and Herzegovina,2023,33.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2009,22.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2010,22.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2011,18.9,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2012,19.0,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2013,22.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2014,22.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2015,20.5,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2016,18.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2017,18.2,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2018,15.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2019,12.3,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2020,15.6,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2021,16.2,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2022,14.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2023,14.4,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Belgium,2024,14.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2009,17.8,,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2010,24.4,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2011,28.1,b,
ESTAT:TESEM140(1.0),14/04/25 23:00:00,Annual,From 15 to 24 years,Percentage of population in the labour force,Females,Bulgaria,2012,30.6,,
